,tribe,genus,species,opt2,opt4,taxa,sociality,CF,CM,CA,QL,CL,WS,QS,QW,PM,QF,OR,WM,SX,R,BC,NC,OG
H.ligatus,Halictini,Halictus,ligatus,B,B,hal,prm,1,20,4,1,0.2,6.1,1.14,2,50,1,1,51,0.65,0.42,2,1,1
L.baleicum,Halictini,Lasioglossum,baleicum,B,B,hal,par,1,7,2,1,0.12,1,1.05,2,0,1,1,57,0.8,0.7,2,1,1
L.zephyrum,Halictini,Lasioglossum,zephyrum,B,B,hal,prm,1,45,14,1,0.29,0.5,1.06,2,15,1,1,8,0.73,0.7,2,1,1
L.villosulum,Halictini,Lasioglossum,villosulum,B,A,hal,sol,1,1,1,0.75,0,3.65,1.07,0,100,1,1,100,0.66,NA,1,0,0.5
L.marginatum,Halictini,Lasioglossum,marginatum,B,C,hal,prm,1,486,280,6,6,NA,1,2,NA,NA,1,0,0.3,NA,2,2,1
A.amphitrite,Augochlorini,Augochlora, amphitrite,B,B,hal,prm,1,3,2,1,0.25,6.81,1.09,2,25,1,1,0,0.56,NA,1,0,1
A.phoemonoe,Augochlorini,Augochlora, phoemonoe,B,B,hal,prm,1,4,3,1,0.25,2.75,1.11,2,0,1,1,0,0.47,NA,1,0,1
A.striata,Augochlorini,Augochlorella ,striata,B,B,hal,prm,1,25,7,1,0.23,3.2,1.03,2,12,1,1,42,0.48,0.78,1,0,1
M.genalis,Augochlorini,Megalopta,genalis,B,B,hal,par,1,11,3,0.65,0.11,9.11,1.08,2,3,1,1,75,0.46,0.75,2,1,1
D.novaeangliae,Rophitinae,Dufourea,novaeangliae,B,A,hal,sol,1,1,1,0.08,0,NA,1,0,100,1,1,100,NA,NA,1,0,0
E.meriana,Euglossini,Eulaema,meriana,B,A,eug,com,1,2,2,0.33,0.05,2.23,1,0,100,1,1,100,NA,NA,1,0,0
E.nigrita,Euglossini,Eulaema,nigrita,B,A,eug,com,1,6,4,0.21,0.11,4.53,1,0,100,1,1,100,NA,0.75,1,0,0
E.atroveneta,Euglossini,Euglossa,atroveneta,B,B,eug,par,1,10,6,0.58,0.33,NA,1,0,NA,1,1,100,NA,0.62,NA,0,1
E.townsendi,Euglossini,Euglossa,townsendi,B,B,eug,par,1,6,2,0.49,0.18,NA,1,0,0,1,1,100,0.6,NA,3,0,1
E.viridissima,Euglossini,Euglossa,viridissima,B,B,eug,prm,1,4,2,0.5,NA,2.05,1,0,30,1,1,100,0.6,0.52,3,0,1
E.melanotricha,Euglossini,Euglossa,melanotricha,B,B,eug,prm,1,3,2,0.22,0.1,NA,1,1,30,1,1,100,0.64,0.66,3,0,1
E.cordata,Euglossini,Euglossa,cordata,B,B,eug,par,1,6,2,0.52,0.08,4.47,1.01,1,0,1,1,100,0.54,0.56,3,0,1
E.dodsoni,Euglossini,Euglossa,dodsoni,B,A,eug,sol,1,1,1,NA,0,NA,1,0,100,1,1,100,0.53,NA,1,NA,0
E.hyacinthina,Euglossini,Euglossa,hyacinthina,B,A,eug,com,1,5,4,0.46,NA,2.28,1,0,100,1,1,100,0.69,NA,1,1,1
A.cerana,Apini,Apis,cerana,A,D,api,hgh,5600,40000,6900,NA,NA,1.77,1.08,4,0,960,0.112,0,0.002,0.35,6,1,1
A.mellifera,Apini,Apis,mellifera,A,D,api,hgh,2400,80000,15000,2,5.6,1.8,0.99,4,0.01,1500,0.024,0,0.002,0.29,6,2,1
A.dorsata,Apini,Apis,dorsata,A,D,api,hgh,4000,80000,36600,NA,NA,1.91,1.02,4,0,940,0.188,0,0.003,0.29,6,1,1
A.florea,Apini,Apis,florea,A,D,api,hgh,2000,30000,6300,NA,1,1.15,1.23,4,0,350,0.023,0,0.018,0.29,6,1,1
A.nebulata,Meliponini,Apotrigona,nebulata,A,D,mel,hgh,195,2000,1700,NA,5.5,NA,NA,4,NA,NA,NA,0,0.001,NA,3,5,1
A.australis,Meliponini,Austroplebeia,australis,A,D,mel,hgh,1000,5000,3000,NA,NA,2.81,1.1,4,7,39,NA,0,NA,0.78,3,5,1
H.gribodoi,Meliponini,Hypotrigona,gribodoi,A,D,mel,hgh,100,750,450,4,5.5,NA,NA,4,NA,50,NA,0,NA,NA,3,4,1
T.carbonaria,Meliponini,Tetragonula,carbonaria,A,D,mel,hgh,2500,11000,6750,NA,NA,NA,NA,4,0,300,0,0,NA,0.75,3,5,1
M.scutellaris,Meliponini,Melipona,scutellaris,A,D,mel,hgh,NA,2000,1500,NA,15,1.78,0.9,4,23,21.3,1,0,NA,0.77,3,5,1
M.flavolineata,Meliponini,Melipona,flavolineata,A,D,mel,hgh,NA,3300,1500,NA,NA,2.02,0.87,4,NA,NA,1,0,NA,0.75,3,5,1
M.fasciata,Meliponini,Melipona,fasciata,A,D,mel,hgh,200,2500,1000,NA,10,1.5,0.9,4,1,NA,1,0,0.498,NA,3,5,1
M.fuliginosa,Meliponini,Melipona,fuliginosa,A,D,mel,hgh,250,600,383,NA,NA,NA,0.9,4,NA,NA,1,0,NA,NA,3,5,1
M.bicolor,Meliponini,Melipona,bicolor,A,D,mel,hgh,150,800,425,7,NA,NA,0.84,4,54,30,1,0,0.5,0.64,3,5,1
M.marginata,Meliponini,Melipona,marginata,A,D,mel,hgh,160,2500,1330,NA,NA,NA,0.81,4,37.1,28,1,0,0.601,0.7,3,5,1
M.beecheii,Meliponini,Melipona,beecheii,A,D,mel,hgh,300,3000,800,3,15,1.92,0.85,4,0,18,1,0,0.366,0.68,3,5,1
M.favosa,Meliponini,Melipona,favosa,A,D,mel,hgh,60,700,400,3,NA,NA,0.75,4,94.5,10.1,1,0,0.261,NA,3,5,1
M.fasciculata,Meliponini,Melipona,fasciculata,A,D,mel,hgh,300,3000,600,NA,NA,1.13,0.85,4,0,NA,1,0,NA,0.75,3,5,1
M.quadrifasciata,Meliponini,Melipona,quadrifasciata,A,D,mel,hgh,300,1500,900,3,NA,4.13,0.91,4,64,24,1,0,0.472,0.83,3,5,1
P.droryana,Meliponini,Plebeia,droryana,A,D,mel,hgh,200,10000,5000,NA,10,2.21,0.97,4,15.2,80,NA,0,NA,NA,3,5,1
P.remota,Meliponini,Plebeia,remota,A,D,mel,hgh,800,5000,2900,4,8.15,NA,NA,4,3,220,0.66,0,0.004,0.79,3,5,1
F.schrottkyi,Meliponini,Friesella,schrottkyi,A,D,mel,hgh,300,2500,1400,NA,NA,2.39,NA,4,0,53,NA,0,NA,NA,3,4.5,1
L.limao,Meliponini,Lestrimelitta,limao,A,D,mel,hgh,200,7000,4500,NA,10,1.44,1.38,4,NA,670,0.32,0,NA,0.65,3,5,1
F.varia,Meliponini,Frieseomelitta,varia,A,D,mel,hgh,NA,1600,1200,NA,NA,1.56,1.1,4,0,NA,0,0,NA,NA,3,2,1
T.angustula,Meliponini,Tetragonisca,angustula,A,D,mel,hgh,500,8000,5000,3.5,8.15,3.2,1.85,4,0,154,1,0,0.012,NA,3,5,1
S.quadripunctata,Meliponini,Schwarziana,quadripunctata,A,D,mel,hgh,500,2500,1500,NA,NA,NA,1.17,4,0,NA,0.62,0,0.032,0.79,3,5,1
N.testaceicornis,Meliponini,Nannotrigona,testaceicornis,A,D,mel,hgh,200,3000,2500,NA,10,1.6,1.11,4,NA,16,0.44,0,0.006,NA,3,4,1
C.capitata,Meliponini,Cephalotrigona,capitata,A,D,mel,hgh,NA,1000,700,NA,23,NA,1.3,4,NA,NA,NA,0,NA,NA,3,5,1
T.spinipes,Meliponini,Trigona,spinipes,A,D,mel,hgh,5000,53000,39000,NA,10,2.7,1.29,4,NA,NA,0.33,0,NA,0.75,3,5,1
T.fulviventris,Meliponini,Trigona,fulviventris,A,D,mel,hgh,2000,10000,5750,NA,23,NA,1.31,4,NA,NA,NA,0,NA,0.68,3,5,1
G.mombuca,Meliponini,Geotrigona,mombuca,A,D,mel,hgh,NA,3000,2500,NA,NA,1.42,NA,4,0,NA,NA,0,NA,NA,3,5,1
S.pectoralis,Meliponini,Scaptotrigona,pectoralis,A,D,mel,hgh,1400,5200,3600,NA,23,NA,1.14,4,NA,NA,NA,0,NA,0.71,3,4,1
S.postica,Meliponini,Scaptotrigona,postica,A,D,mel,hgh,2000,50000,15000,NA,NA,2.24,1.25,4,14.7,543,1,0,NA,0.7,3,5,1
B.atratus,Bombini,Bombus,atratus,A,C,bom,prm,50,1605,480,1,5,7.7,1.297,3,90,16,1,1,0.3,NA,2,1.5,1
B.fervidus,Bombini,Bombus,fervidus,A,C,bom,prm,1,300,250,1,NA,NA,1.173,3,NA,8,1,0,NA,NA,5,1.5,1
B.muscorum,Bombini,Bombus,muscorum,A,C,bom,prm,1,NA,50,1,NA,11.05,NA,3,NA,NA,1,0,NA,NA,2,1,1
B.pascuorum,Bombini,Bombus,pascuorum,A,C,bom,prm,1,180,60,1,0.42,9.1,NA,3,NA,9,1,0,0.61,0.75,2,1,1
B.morio,Bombini,Bombus,morio,A,C,bom,prm,1,525,300,1,0.38,9.73,1.3,3,NA,NA,1,0,0.34,0.75,2,1.5,1
B.hortorum,Bombini,Bombus,hortorum,A,C,bom,prm,1,128,100,1,0.17,9.1,1.174,3,NA,20,1,0,NA,0.75,2,1.5,1
B.impatiens,Bombini,Bombus,impatiens,A,C,bom,prm,1,756,450,1,0.19,9.96,1.5,3,0,10,1,0,0.38,0.67,5,1,1
B.melanopygus,Bombini,Bombus,melanopygus,A,C,bom,prm,1,133,50,1,0.33,NA,1.36,3,19.1,NA,1,0,0.12,0.75,5,1,1
B.pratorum,Bombini,Bombus,pratorum,A,C,bom,prm,1,130,100,1,0.21,7.2,1.221,3,NA,7,1,0,NA,0.75,5,1,1
B.hypnorum,Bombini,Bombus,hypnorum,A,C,bom,prm,1,150,50,1,0.22,5.51,1.44,3,15.4,2,1,0,0.34,0.69,5,1,1
B.terrestris,Bombini,Bombus,terrestris,A,C,bom,prm,1,400,200,1,0.33,11.3,1.76,3,3.4,17,1,0,0.23,0.75,5,1.5,1
B.occidentalis,Bombini,Bombus,occidentalis,A,C,bom,prm,1,NA,85,1,NA,NA,1.38,3,NA,8,1,0,NA,NA,5,1,1
B.lucorum,Bombini,Bombus,lucorum,A,C,bom,prm,1,400,130,1,0.25,7.05,1.11,3,NA,3,1,0,0.37,0.75,5,1.5,1
B.hypocrita,Bombini,Bombus,hypocrita,A,C,bom,prm,1,260,45,1,0.31,9.75,1.35,3,21,4,1,0,0.185,0.75,5,2,1
B.ignitus,Bombini,Bombus,ignitus,A,C,bom,prm,1,240,107,1,0.35,11.64,1.21,3,4.1,5,1,0,0.1,0.75,5,1.5,1
B.polaris,Bombini,Bombus,polaris,A,C,bom,prm,1,21,16,1,0.16,NA,1.24,3,0,15,1,0,0.35,NA,5,1,1
B.lapidarius,Bombini,Bombus,lapidarius,A,C,bom,prm,1,400,300,1,0.3,7.9,1.45,3,NA,NA,1,0,NA,0.75,5,2,1
C.calcarata,Ceratinine,Ceratina,calcarata,B,A,xyl,sub,1,1,1,1,0,9.23,1,1,100,1,1,100,0.44,0.48,1,0,1
C.cyanea,Ceratinine,Ceratina,cyanea,B,B,xyl,sol,1,1,1,1,0,NA,1,0,100,1,1,100,0.38,0.45,1,0,0
C.australensis,Ceratinine,Ceratina,australensis,B,B,xyl,par,1,2,2,1,NA,4.8,1.02,2,0,1,1,100,0.59,0.79,1,0,1
E.robusta,Allodapini,Exoneura,robusta,B,B,xyl,prm,1,6,2,1,0.5,NA,1,2,29,1,1,100,0.83,0.39,5,0,1
B.vitrea,Allodapini,Braunsapis,vitrea,B,B,xyl,par,1,3,2,NA,NA,5.52,1.02,2,0,1,1,0,0.7,NA,4,0,1
E.lawsoni,Allodapini,Exoneurella,lawsoni,B,A,xyl,sol,1,1,1,1,0,NA,1,0,100,1,1,100,0.58,NA,4,0,0.5
E.tridentata,Allodapini,Exoneurella,tridentata,B,C,xyl,hgh,1,37,10,4.5,15,4.98,1.18,4,NA,1,1,8,0.36,0.705,5,0,1
X.violacea,Xylocopini,Xylocopa,violacea,B,A,xyl,sol,1,1,1,0.41,0,NA,1,0,100,1,1,100,0.59,NA,1,0,0
X.virginica,Xylocopini,Xylocopa,virginica,B,B,xyl,par,1,5,2,2,8,3.16,1.02,2,0,1,1,0,0.63,0.15,2,0,1
X.pubescens,Xylocopini,Xylocopa,pubescens,B,B,xyl,par,1,2,2,1,0.16,NA,1,2,0,1,1,100,0.5,0.48,1,0,1
H.laboriosa,Anthophorini,Habropoda,laboriosa,B,A,meg,sol,1,1,1,0.08,0,2.46,1,0,100,1,1,100,NA,0.75,1,0,0
M.rotundata,Megachile,Megachile,rotundata,B,A,meg,sol,1,1,1,0.16,0,2.4,1,0,100,2,1,100,0.35,0.65,1,0,0
